
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
HPSystemEventUtilityBackg    10872 Console                    3      3,792 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:03 .NET-BroadcastEventWindow.4.0.0.0.bf7771.0                              
unsecapp.exe                 20224 Console                    3      2,068 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 OleMainThreadWndName                                                    
HPMediaNetwork.exe           11656 Console                    3      1,744 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 .NET-BroadcastEventWindow.4.0.0.0.329445b.0                             
OneDrive.exe                  8824 Console                    3     10,524 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:32 GDI+ Window (OneDrive.exe)                                              
claude.exe                     584 Console                    3     13,384 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:12 N/A                                                                     
claude.exe                   14800 Console                    3         12 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
claude.exe                   15148 Console                    3     17,864 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:07 N/A                                                                     
claude.exe                   17712 Console                    3      6,896 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:02 OleMainThreadWndName                                                    
claude.exe                   16592 Console                    3        480 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
claude.exe                    2936 Console                    3        488 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
claude.exe                    8104 Console                    3     32,484 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:20 N/A                                                                     
ShellExperienceHost.exe       6492 Console                    3          8 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 New notification                                                        
RuntimeBroker.exe            10556 Console                    3      3,024 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 OLEChannelWnd                                                           
svchost.exe                   8936 Console                    3      2,112 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:01 N/A                                                                     
WhatsApp.Root.exe            12560 Console                    3     12,788 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:09 GDI+ Window (WhatsApp.Root.exe)                                         
RuntimeBroker.exe            21520 Console                    3        784 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe            3128 Console                    3     37,012 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:14 N/A                                                                     
msedgewebview2.exe           15176 Console                    3        716 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe            5876 Console                    3      7,040 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe            1220 Console                    3     16,740 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:02 OleMainThreadWndName                                                    
msedgewebview2.exe           16900 Console                    3      2,124 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe           11732 Console                    3     41,428 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:23 N/A                                                                     
